"관광타입","음식점"
"음식점명","택이네해장국"
"개요","택이네해장국은 1플러스플러스 넘버 9등급의 최상급 한우 뼈, 고기, 내장 만을 사용하여 기존 해장국의 텁텁하고 느끼한 맛이 아닌, 묵직하면서도 담백 깔끔한 맛을 담아내고 있습니다. 또한 단백질, 무기질, 비타민, 철분 등 다양한 영양소를 고려한 제주산 신선한 채소와 최상의 선지를 이용해 재료 본연의 맛을 최대한 느끼실 수 있습니다. 저염 조리법으로 만들어지고 있는 제주 택이네해장국은 가족의 건강을 생각하는 든든한 한 끼 식사로 자신 있게 추천드립니다. 골뱅이닷컴, 처갓집양념치킨 한림점이 인접해 있습니다."
"주소","제주 제주시 한림읍 한림상로 202"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림상로 202"
"주소(지번주소)","제주특별자치도 제주시 한림읍 한림리 1256-5"
"대표번호","064-796-0322"
"영업시간","05:00 - 14:00"
"휴무일","매주 금요일"
"취급메뉴","한우해장국, 한우내장탕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 양이 많아요"
