"관광타입","음식점"
"음식점명","메종글래드 제주 삼다정"
"개요","가장 제주답고도 세계적인 요리를 선보이는, 프리미엄 라이브 뷔페 삼다정입니다. 제주 도민들이 즐겨 찾는 프리미엄 라이브 뷔페 삼다정은 도내 특급 호텔 최초로 신선한 재료를 즉석에서 요리하여 선보이는 Live Kitchen 스타일을 추구하고 있습니다. 제주의 멋이 담긴 격조 높은 공간 속에서 최고의 식사를 즐기실 수 있도록 비즈니스, 가족 모임을 위한 6개의 별실을 갖추고 있으며, 자연이 주는 소중한 재료에 특급 쉐프의 정성어린 손길을 더해 신선한 제주의 산해진미를 한 곳에서 맛보실 수 있습니다. 도야, 소못이 인접해 있습니다."
"주소","제주 제주시 노연로 80 메종글래드 제주 1F"
"주소(도로명)","제주특별자치도 제주시 노연로 80"
"주소(지번주소)","제주특별자치도 제주시 연동 263-15"
"대표번호","0507-1321-8231"
"영업시간","07:00~21:00/21:30"
"휴무일","전화문의"
"취급메뉴","스테이크, 연어"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 청결해요, 메뉴 구성이 알차요, 매장이 넓어요"
