"관광타입","음식점"
"음식점명","장어창고 제주점"
"개요","장어창고는 식약처 위생등급 매우 우수인 최고 등급을 받았습니다. 2018년도에 오픈한 장어창고는 최상급 참숯에 품질 좋은 통통한 민물장어와 제주 토종 생 흑돼지 구이를 제공합니다. 관리하기도 번거롭고 금액대도 상당한 참숯을 고집하는 이유는 참숯에 장어를 구우면 훈연 효과를 내 풍부한 풍미와 장어 특유의 잡내를 제거하여 더 육질이 좋고 맛 좋은 장어를 드실 수 있기 때문입니다. 장어창고를 믿고 방문해 주셔서 감사합니다. 두모리사무소가 인접해 있습니다."
"주소","제주 제주시 한경면 두신로 146"
"주소(도로명)","제주특별자치도 제주시 한경면 두신로 146"
"주소(지번주소)","제주특별자치도 제주시 한경면 두모리 2462-1"
"대표번호","0507-1338-1322"
"영업시간","11:00-22:00"
"휴무일","매주 화요일"
"취급메뉴","민물장어, 근고기 오겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 넓어요, 매장이 청결해요"
