"관광타입","음식점"
"음식점명","소소식당"
"개요","소소식당은 건강한 슬로우푸드를 지향합니다. 소소는 음식, 반찬, 육수, 간장, 초장 등 모든 재료를 손수 준비하고 있습니다. 화려하진 않지만 건강하고 맛있는 먹거리를 제공합니다. 테이블 수가 많지 않아 예약을 받지 않고 있으며 오시면 순차적으로 안내해 드립니다. 테이블링으로 줄서기, 입장하기 가능합니다. 중학생 이상 1인 1메뉴 주문 부탁드립니다. 대포마을복지회관, 새마을금고가 인접해 있습니다."
"주소","제주 서귀포시 대포로 69-12"
"주소(도로명)","제주특별자치도 서귀포시 대포로 69-12"
"주소(지번주소)","제주특별자치도 서귀포시 대포동 1576-1"
"대표번호","064-738-2257"
"영업시간","11:00 - 16:00"
"휴무일","매주 수요일"
"취급메뉴","제주 해물전골우동, 제주돌문어비빔밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 특별한 메뉴가 있어요"
