"관광타입","음식점"
"음식점명","섭지골흑돼지"
"개요","성산일출봉, 섭지코지와 가까운 곳에 위치한 섭지골흑돼지는 한 돈 인증 업체로 정직한 마인드로 운영되는 곳입니다. 두툼한 흑돼지가 매력적인 저희 섭지골흑돼지는 흑돼지와 함께 전복, 대하 등 골고루 맛볼 수 있습니다. 강원도 오대산 참숯을 사용하여 초벌구이를 하기 때문에 깊은 참숯 향에 배여 쫄깃한 흑돼지를 맛볼 수 있습니다. 코업시티호텔 성산, 블루마운틴호텔이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 성산중앙로 48 1층"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 성산중앙로 48"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 196-2"
"대표번호","0507-1342-0171"
"영업시간","11:00-22:00"
"휴무일","전화문의"
"취급메뉴","제주산 흑돼지 오겹살, 제주산 흑돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 넓어요, 재료가 신선해요, 주차하기 편해요"
