"관광타입","음식점"
"음식점명","병천한가네순대국밥"
"개요","국물의 깊은 맛 병천한가네순대국밥은 맛은 물론이고 건강까지 최선을 다해 돌아가시는 발걸음에서 따뜻한 정을 느끼고 가셨으면 하는 마음입니다. 병천한가네순대국밥은 넓고 깔끔한 인테리어는 물론 곰탕의 맛 또한 탁월합니다. 항상 신선하고 믿을 수 있는 재료를 사용하여 내 가족이 먹는다는 마음으로 요리하고 있습니다. 이용해 주시는 모든 고객님께서 만족할 수 있도록 최선을 다해 모실 것이며 보다 좋은 맛과 서비스로 즐거운 모임이 되실 수 있도록 최선을 다하겠습니다. 가족, 친척, 회사 모임 등을 넓은 공간에서 편안하게 즐기실 수 있습니다. 감사합니다. 인터뷰책방, 올레라이힐스빌이 인접해 있습니다."
"주소","제주 서귀포시 중산간동로 8359"
"주소(도로명)","제주특별자치도 서귀포시 중산간동로 8359"
"주소(지번주소)","제주특별자치도 서귀포시 서호동 390"
"대표번호","064-738-5878"
"영업시간","08:30 - 15:00/20:00"
"휴무일","전화문의"
"취급메뉴","순대국, 돼지국밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 주차하기 편해요, 매장이 넓어요, 친절해요"
