"관광타입","음식점"
"음식점명","이공이시"
"개요","가게 정기휴무는 매주 수요일입니다. 제주 성게 초밥, 후토마끼, 모둠회가 대표 메뉴이며, 한국 전통주와 화요, 사케, 와인 등 다양한 주류와 함께 드실 수 있는 캐쥬얼한 다이닝바입니다. 미성년자 출입 불가하며, 5인부터 8인은 룸으로만 예약을 받으며, 9인 이상의 단체는 받지 않습니다. 제주 롯데호텔이 인접해 있습니다."
"주소","제주 서귀포시 중문관광로72번길 29-9 초록 기와 1층"
"주소(도로명)","제주특별자치도 서귀포시 중문관광로72번길 29-9"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 2822-2"
"대표번호","070-8838-7832"
"영업시간","17:00 - 23:00"
"휴무일","매주 수요일"
"취급메뉴","제주 성게 초밥, 이공이시 초밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 특별한 메뉴가 있어요"
