"관광타입","음식점"
"음식점명","바솔트레스토랑 "
"개요","바솔트 레스토랑은 올데이 다이닝 레스토랑으로 라이브 스테이션을 포함한 조식 뷔페를 제공합니다. 고객들은 파노라마로 펼쳐진 범섬의 오션뷰를 바라보며 다양한 메뉴와 조식 뷔페를 즐길 수 있습니다. 바솔트 레스토랑에서의 시간은 친환경 우드 스타일의 인테리어를 통해 자연에서의 안락함을 드리며 잊을 수 없는 경험을 선사할 것입니다. 더 그랜드 섬오름 바솔트 레스토랑은 제주도 풍광이 고스란히 살아 있는 서귀포 법환포구 바로 옆, 제주 올레 중 가장 아름다운 제주 올레 7코스 한가운데 위치하고 있습니다. "
"주소","제주 서귀포시 막숙포로 118"
"주소(도로명)","제주특별자치도 서귀포시 막숙포로 118"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 1498"
"대표번호","0507-1390-7400"
"영업시간","07:00 - 22:00"
"휴무일","없음"
"취급메뉴","조식뷔페, 제주 흑 암퇘지숯불양념구이정식"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 뷰가 좋아요, 재료가 신선해요, 매장이 청결해요"
