"관광타입","음식점"
"음식점명","세화복우동"
"개요","세화 초등학교 맞은편에 위치한 조그마한 식당입니다. 드시고 돈이 아깝지 않으실 음식을 만드는 것이 저희 가게에 찾아오시는 분들께 예의라고 생각합니다. 부디 오셔서 즐겨주시길 바랍니다. 주차는 인근에 공영주차장이 마련되어 있습니다. 길거리에 주차하시면 과태료 8만원이 부과되니 꼭 공영주차장에 주차해 주세요. 세화 초등학교, 데이지, 카카오패밀리 세화가 인접해 있습니다."
"주소","제주 제주시 구좌읍 구좌로 62"
"주소(도로명)","제주특별자치도 제주시 구좌읍 구좌로 62"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 세화리 1413-4"
"대표번호","0507-1436-1036"
"영업시간","11:00 - 20:00"
"휴무일","매주 일요일"
"취급메뉴","복우동, 얼큰고기우동"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 재료가 신선해요, 가성비가 좋아요"
