"관광타입","음식점"
"음식점명","올리브베이커리"
"개요","조향사가 운영하는 제주도 동네빵집. 자연에서 찾은 재료 본연의 맛과 향을 이해하고 잘 어울리는 비율을 찾아 레시피를 연구합니다. 오랜시간을 두고 천천히 발효, 숙성시켜  몸에 이로운 건강한 빵을 만들어 갑니다.  먹는 즐거움은 행복한 생활의 기본이고, 건강은 삶의 기본이라 생각하고  옳은 방향으로 나아가려고 합니다. 다양하고 화려한 맛은 아닌 단순하고 소박한 구성으로 인공색소, 유화제, 보존제를 사용하지 않고  비건빵을 만들어 갑니다. 올리브 베이커리는 그린라벨, 비건과 화이트 라벨락토, 오보로  재료 사용을 구분해드리고 있습니다. 강정마을, 법환마을이 인접해 있습니다."
"주소","제주 서귀포시 이어도로 856"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 856"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 591"
"대표번호","0507-1434-7748"
"영업시간","11:00 - 20:00"
"휴무일","매주 일요일"
"취급메뉴","올리브 치아바타, 포카치아"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 매장이 청결해요, 인테리어가 멋져요"
