"관광타입","음식점"
"음식점명","불턱버거"
"개요","서귀포 중문관광단지, 현대셀프대포주유소가 인접하고 있습니다. LOVE IS A BURGER. 서귀포 중문의 맛있고 따뜻한 수제버거집. 불턱버거는 다음 5가지를 약속드립니다. 1. 자연친화적이고 편안한 공간. 2. 개성 있고 완성도 높은 버거들. 3. 시그니처 사이드메뉴 무농약 표고버섯튀김. 4. 모든 메뉴는 주문과 동시에 오더메이드로 조리. 5. 친절하고 겸손한 사람들. 불턱버거 대표 박규삼 드림. 불턱, 제주 해녀들이 물질하다 불을 쬐며 몸을 녹이던 쉼터 불턱."
"주소","제주 서귀포시 일주서로570번길 1 1층 불턱버거"
"주소(도로명)","제주특별자치도 서귀포시 일주서로570번길 1"
"주소(지번주소)","제주특별자치도 서귀포시 대포동 628-1"
"대표번호","0507-1333-6572"
"영업시간","10:00 - 15:30"
"휴무일","없음"
"취급메뉴","청양핫치킨버거, 프레시버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 청결해요"
