"관광타입","음식점"
"음식점명","요리바카"
"개요","카이 세 끼 요리를 기반으로 청정제주의 식재료와 분위기를 가미한 새로운 일식을 선보이고자 합니다. 일본 도쿄 조리사 전문학교를 졸업 후 긴자 록산테와 한국 유명 일식 레스토랑의 메인 셰프로 근무하였습니다. 서핑에 빠져 제주로 이주한 후 매일 새로운 삶을 배우고 자연과 함께 하는 나날을 보내고 있습니다. 요리 바카를 찾아주시는 분들 또한 함께 느끼실 수 있기를 바랍니다. 윤꽈배기, 꼬기오통닭이 인접해 있습니다."
"주소","제주 서귀포시 천제연로214번길 3"
"주소(도로명)","제주특별자치도 서귀포시 천제연로214번길 3"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 1949-8"
"대표번호","0507-1311-6984"
"영업시간","17:00 - 24:00"
"휴무일","매주 일요일"
"취급메뉴","제이타쿠돈, 미소니코미우동"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 가성비가 좋아요"
