"관광타입","음식점"
"음식점명","바다의집"
"개요","바다의 집은 신선한 식재료를 당일 소진할 만큼 준비합니다. 신선도가 중요한 식재료라 욕심내어 준비하지 않습니다. 재료 소진 시 조기 마감합니다. 꼭 출발 전 확인 부탁드립니다. 작은 공간으로 운영하는 곳이라 예약은 따로 받지 않고 6인 이상 입장 불가합니다. 이점 양해 부탁드립니다. 오시는 순서대로 입장 가능합니다. 영업시간을 짧게 운영하는 만큼 위생에 신경 쓰며 정성껏 음식을 준비하여 손님께 내어드립니다. 우리의 인연이 우연이 아닌 필연으로 남길 바랍니다. 늘 행복하세요. 플라이오조, 국풍반점이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 병문로 236"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 병문로 236"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 오조리 797-1"
"대표번호","0507-1495-8922"
"영업시간","09:00-16:00"
"휴무일","매주 수요일"
"취급메뉴","전복장정식, 성게비빔밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 매장이 청결해요, 친절해요, 특별한 메뉴가 있어요"
