"관광타입","음식점"
"음식점명","오선"
"개요","제주의 매력을 듬뿍 느낄 수 있는 고요하고 예쁜 마을 선흘에서 국내산, 제주산 식재료로 정성이 가득 담긴 가정식 한상을 준비했습니다. 소중한 시간, 소소한 대화를 나누며 맛있는 식사하세요. 예쁜 선흘리 마을 산책도 좋습니다. 따뜻하고 건강한 한상차림 오선으로 초대합니다. 선흘체육관, 선흘초등학교, 달밭코티지가 인접해 있습니다."
"주소","제주 제주시 조천읍 선흘동1길 31 오선"
"주소(도로명)","제주특별자치도 제주시 조천읍 선흘동1길 31"
"주소(지번주소)","제주특별자치도 제주시 조천읍 선흘리 2637-2"
"대표번호","0507-1341-7681"
"영업시간","11:00-16:00"
"휴무일","매주 수요일"
"취급메뉴","오선흑돼지간장불고기 한상, 오선흑돼지두루치기 한상"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 인테리어가 멋져요, 매장이 청결해요"
